"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"LGR5",0,1.29094896197357,0.616,0.042,0,"Stem","LGR5"
"SLC12A2",0,1.16818958462318,0.975,0.436,0,"Stem","SLC12A2"
"EPHB2",0,1.07406013636827,0.817,0.197,0,"Stem","EPHB2"
"RGMB",0,1.0138004938883,0.688,0.117,0,"Stem","RGMB"
"SMOC2",0,0.991423191813966,0.558,0.064,0,"Stem","SMOC2"
"RNF43",0,0.986990369937871,0.875,0.399,0,"Stem","RNF43"
"CDK6",0,0.8725819703605,0.814,0.356,0,"Stem","CDK6"
"DACH1",0,0.849834996936649,0.934,0.502,0,"Stem","DACH1"
"OLFM4",0,0.824420357655788,0.942,0.577,0,"Stem","OLFM4"
"APOLD1",0,0.786886837756463,0.482,0.084,0,"Stem","APOLD1"
"ARID5B",0,0.786269900335362,0.821,0.371,0,"Stem","ARID5B"
"CDCA7",0,0.771294628359067,0.525,0.086,0,"Stem","CDCA7"
"KIAA1324",0,0.739183635475395,0.797,0.286,0,"Stem","KIAA1324"
"KANK1",0,0.722234431575208,0.926,0.623,0,"Stem","KANK1"
"ASIC2",0,0.721696074462932,0.465,0.073,0,"Stem","ASIC2"
"ZNRF3",0,0.715257193310338,0.602,0.167,0,"Stem","ZNRF3"
"NAALADL2",0,0.692454940037337,0.924,0.59,0,"Stem","NAALADL2"
"SEMA3C",0,0.690637655632863,0.624,0.256,0,"Stem","SEMA3C"
"CERS6",0,0.690077909474121,0.953,0.704,0,"Stem","CERS6"
"KCNQ1",0,0.669730089232873,0.731,0.363,0,"Stem","KCNQ1"
"BCL11A",0,0.657103939396884,0.72,0.359,0,"Stem","BCL11A"
"LINC01184",0,0.646674368092393,0.685,0.285,0,"Stem","LINC01184"
"LRIG1",0,0.643715178399459,0.648,0.262,0,"Stem","LRIG1"
"VDR",0,0.631227502244921,0.716,0.408,0,"Stem","VDR"
"SCTR",0,0.620761888552715,0.522,0.214,0,"Stem","SCTR"
"CFAP221",0,0.618093890286395,0.478,0.168,0,"Stem","CFAP221"
"SAMD5",0,0.611064569603158,0.476,0.119,0,"Stem","SAMD5"
"CHRM3",0,0.601614197026562,0.743,0.348,0,"Stem","CHRM3"
"FUT8",0,0.586288006379263,0.872,0.567,0,"Stem","FUT8"
"CACNB2",0,0.58518792392698,0.712,0.313,0,"Stem","CACNB2"
"PIK3R1",0,0.581590246756459,0.78,0.482,0,"Stem","PIK3R1"
"ITGA6",0,0.562344768898051,0.895,0.637,0,"Stem","ITGA6"
"ZBTB38",0,0.5615729258977,0.69,0.398,0,"Stem","ZBTB38"
"CD44",0,0.558937888986138,0.591,0.175,0,"Stem","CD44"
"TSPOAP1-AS1",0,0.551778478318131,0.42,0.126,0,"Stem","TSPOAP1-AS1"
"CACNA1D",0,0.545946559057146,0.727,0.414,0,"Stem","CACNA1D"
"HTR4",0,0.538081084659802,0.716,0.449,0,"Stem","HTR4"
"LRMDA",0,0.53609167445704,0.637,0.218,0,"Stem","LRMDA"
"IGF1R",0,0.533695105827932,0.679,0.342,0,"Stem","IGF1R"
"TRIM24",0,0.51909233043445,0.559,0.266,0,"Stem","TRIM24"
"AC046195.1",0,0.511180640475893,0.342,0.093,0,"Stem","AC046195.1"
"SORBS2",0,0.510758176833065,0.571,0.244,0,"Stem","SORBS2"
"PPP1R9A",0,0.503966156437818,0.676,0.347,0,"Stem","PPP1R9A"
"MAP3K20",0,0.501042545689459,0.497,0.17,0,"Stem","MAP3K20"
"PGAP1",0,0.500558084367626,0.518,0.251,0,"Stem","PGAP1"
"LRIG3",0,0.499480599792116,0.522,0.239,0,"Stem","LRIG3"
"RANBP17",0,0.494239910406773,0.582,0.286,0,"Stem","RANBP17"
"SHANK2",0,0.490374037703765,0.621,0.304,0,"Stem","SHANK2"
"ETS2",0,0.490023644349439,0.72,0.434,0,"Stem","ETS2"
"WNK2",0,0.487486660598448,0.763,0.482,0,"Stem","WNK2"
"TMEM63A",0,0.484214452171996,0.503,0.201,0,"Stem","TMEM63A"
"NLK",0,0.483606777135644,0.67,0.398,0,"Stem","NLK"
"SERINC5",0,0.483453419863673,0.577,0.277,0,"Stem","SERINC5"
"MLXIP",0,0.480300927854115,0.594,0.27,0,"Stem","MLXIP"
"FGGY",0,0.476451134464367,0.692,0.439,0,"Stem","FGGY"
"DANT2",0,0.475901438895748,0.694,0.414,0,"Stem","DANT2"
"ARHGAP44",0,0.4662237755012,0.554,0.298,0,"Stem","ARHGAP44"
"FERMT1",0,0.463126044374445,0.4,0.14,0,"Stem","FERMT1"
"MYB",0,0.459860693960477,0.335,0.077,0,"Stem","MYB"
"TBC1D4",0,0.456026650226294,0.42,0.144,0,"Stem","TBC1D4"
"GABPB1-AS1",0,0.455406617880307,0.483,0.173,0,"Stem","GABPB1-AS1"
"BCL2",0,0.451683694637203,0.612,0.228,0,"Stem","BCL2"
"PLA2R1",0,0.449605457792691,0.653,0.386,0,"Stem","PLA2R1"
"MYO10",0,0.449362392607133,0.763,0.515,0,"Stem","MYO10"
"SOX4",0,0.447616412640969,0.407,0.127,0,"Stem","SOX4"
"MLEC",0,0.440518137368293,0.579,0.299,0,"Stem","MLEC"
"AL033504.1",0,0.436847122303791,0.306,0.07,0,"Stem","AL033504.1"
"ARHGEF10L",0,0.436665880601505,0.576,0.253,0,"Stem","ARHGEF10L"
"GPHN",0,0.427100877570442,0.836,0.647,0,"Stem","GPHN"
"ZNF804A",0,0.42463662511373,0.376,0.155,0,"Stem","ZNF804A"
"KIF26B",0,0.423515977770955,0.32,0.064,0,"Stem","KIF26B"
"NMNAT3",0,0.423499538904302,0.349,0.096,0,"Stem","NMNAT3"
"APP",0,0.422860130003922,0.749,0.506,0,"Stem","APP"
"TRABD2A",0,0.422031684537142,0.31,0.079,0,"Stem","TRABD2A"
"TRIO",0,0.420345718755612,0.785,0.534,0,"Stem","TRIO"
"ATP2C2",0,0.419862463000666,0.573,0.278,0,"Stem","ATP2C2"
"AL359232.1",0,0.41625782035422,0.293,0.078,0,"Stem","AL359232.1"
"GRIP1",0,0.416215395813107,0.456,0.183,0,"Stem","GRIP1"
"ADD3",0,0.414963908366674,0.778,0.526,0,"Stem","ADD3"
"PMFBP1",0,0.414765234058097,0.286,0.04,0,"Stem","PMFBP1"
"CCND2",0,0.414743972954771,0.507,0.235,0,"Stem","CCND2"
"NFIA",0,0.409856452770665,0.811,0.578,0,"Stem","NFIA"
"TARBP1",0,0.409509775746602,0.467,0.211,0,"Stem","TARBP1"
"LAMB1",0,0.405780745521469,0.486,0.202,0,"Stem","LAMB1"
"FOXP2",0,0.399022995564221,0.821,0.623,0,"Stem","FOXP2"
"GREB1L",0,0.396232617343692,0.3,0.086,0,"Stem","GREB1L"
"DNAH14",0,0.396000347930211,0.386,0.102,0,"Stem","DNAH14"
"SLC38A11",0,0.3893387903327,0.342,0.093,0,"Stem","SLC38A11"
"SLC25A21",0,0.388756098691308,0.341,0.116,0,"Stem","SLC25A21"
"NUBPL",0,0.386075238611008,0.432,0.18,0,"Stem","NUBPL"
"CASK",0,0.373427101373247,0.858,0.687,0,"Stem","CASK"
"PPM1H",0,0.369922881313931,0.443,0.191,0,"Stem","PPM1H"
"NRXN3",0,0.369399146113563,0.332,0.071,0,"Stem","NRXN3"
"CMSS1",0,0.368463856960095,0.409,0.15,0,"Stem","CMSS1"
"BACE2",0,0.366149650591486,0.455,0.164,0,"Stem","BACE2"
"RAB11FIP3",0,0.362066892860568,0.385,0.158,0,"Stem","RAB11FIP3"
"CHD6",0,0.36143714679966,0.55,0.265,0,"Stem","CHD6"
"TRERF1",0,0.36004444190848,0.462,0.164,0,"Stem","TRERF1"
"SH3BP4",0,0.348200184524524,0.317,0.108,0,"Stem","SH3BP4"
"PKDCC",0,0.344216747641528,0.292,0.063,0,"Stem","PKDCC"
"IMMP2L",0,0.343084861997196,0.874,0.717,0,"Stem","IMMP2L"
"HUNK",0,0.340934695937453,0.289,0.1,0,"Stem","HUNK"
"CADM1",0,0.336258878421003,0.326,0.102,0,"Stem","CADM1"
"PHACTR1",0,0.334198334046671,0.295,0.063,0,"Stem","PHACTR1"
"TMEM150C",0,0.323443343045732,0.279,0.071,0,"Stem","TMEM150C"
"FHIT",0,0.323383439868132,0.897,0.758,0,"Stem","FHIT"
"STAMBPL1",0,0.321235283278846,0.343,0.128,0,"Stem","STAMBPL1"
"SHROOM4",0,0.310977243534341,0.269,0.055,0,"Stem","SHROOM4"
"SH3D19",0,0.310104559320089,0.922,0.819,0,"Stem","SH3D19"
"PVT1",0,0.292841018697961,0.349,0.117,0,"Stem","PVT1"
"SNTB1",0,0.271978937582537,0.38,0.119,0,"Stem","SNTB1"
"PDE10A",0,0.269261624744294,0.278,0.066,0,"Stem","PDE10A"
"CAMK1D",0,0.262160713479406,0.479,0.208,0,"Stem","CAMK1D"
"ZNF462",5.80944941067873e-307,0.35995890360236,0.379,0.158,2.55731963058078e-302,"Stem","ZNF462"
"PCAT1",2.03900491459221e-305,0.335969542685125,0.344,0.133,8.97569963403489e-301,"Stem","PCAT1"
"ATP10B",4.58437094390347e-302,0.438050955985781,0.653,0.403,2.01804008950631e-297,"Stem","ATP10B"
"LINC01515",4.74654791540007e-300,0.453831452075927,0.48,0.239,2.08943039235911e-295,"Stem","LINC01515"
"PSD3",1.28070227632199e-295,0.389546012158262,0.797,0.559,5.63765142036938e-291,"Stem","PSD3"
"MECOM",1.34378057364615e-293,0.337138577774445,0.904,0.756,5.91532208519035e-289,"Stem","MECOM"
"ABR",1.54850603979286e-291,0.412354856664088,0.663,0.42,6.81652358716818e-287,"Stem","ABR"
"MAML3",1.24694420085076e-290,0.372090187506439,0.85,0.633,5.48904837214503e-286,"Stem","MAML3"
"REG1A",2.1588956495578e-290,0.411171743257446,0.881,0.677,9.50345864935342e-286,"Stem","REG1A"
"EFCAB11",1.44641645495765e-287,0.397136640225867,0.364,0.155,6.36712523472357e-283,"Stem","EFCAB11"
"RALGAPA2",3.42081585355143e-285,0.330982872784616,0.809,0.644,1.50584313873334e-280,"Stem","RALGAPA2"
"APBB2",1.10250181505345e-283,0.39845347635779,0.711,0.493,4.8532129898653e-279,"Stem","APBB2"
"FREM1",8.59877039688661e-280,0.446415005930014,0.543,0.302,3.78517872870948e-275,"Stem","FREM1"
"CRIM1",3.58877729212303e-276,0.33009399966481,0.508,0.249,1.57977976399256e-271,"Stem","CRIM1"
"LINC01473",1.01426249134711e-275,0.45357794105086,0.598,0.368,4.46478348690999e-271,"Stem","LINC01473"
"CFTR",1.25901627717055e-275,0.39975709825087,0.789,0.543,5.54218965210476e-271,"Stem","CFTR"
"TOX",2.23768507860537e-273,0.354956724331648,0.853,0.63,9.85028971602082e-269,"Stem","TOX"
"SEMA5A",5.54431786618768e-273,0.435800714763051,0.495,0.261,2.44060872469582e-268,"Stem","SEMA5A"
"PCCA",1.31863709352761e-267,0.397208160891425,0.655,0.41,5.80464048570853e-263,"Stem","PCCA"
"TSEN2",3.26378933350975e-265,0.335021029575632,0.358,0.154,1.43672006461099e-260,"Stem","TSEN2"
"NECTIN3",1.69204495693402e-258,0.409417755176497,0.656,0.445,7.44838190042355e-254,"Stem","NECTIN3"
"ADK",2.26501324416536e-255,0.383005310817209,0.655,0.396,9.97058830081593e-251,"Stem","ADK"
"AC104123.1",5.41700147860596e-255,0.315298810790718,0.323,0.131,2.38456405088234e-250,"Stem","AC104123.1"
"SLC16A1-AS1",1.63606331605125e-251,0.250915369140068,0.285,0.107,7.20195071725762e-247,"Stem","SLC16A1-AS1"
"KIAA1217",1.89773605503847e-250,0.373090146940141,0.699,0.476,8.35383411427934e-246,"Stem","KIAA1217"
"PGGHG",4.42865268401485e-250,0.358456681360751,0.359,0.157,1.94949291150334e-245,"Stem","PGGHG"
"SMAD6",1.45189197882404e-248,0.259115488597713,0.255,0.092,6.39122849078343e-244,"Stem","SMAD6"
"ZNF710",3.86687140728086e-248,0.309519755906673,0.436,0.208,1.70219679348503e-243,"Stem","ZNF710"
"MAP2K6",1.47627785447683e-244,0.3490700256162,0.42,0.203,6.498575115407e-240,"Stem","MAP2K6"
"LINC01572",2.20912078735867e-243,0.320212007931176,0.357,0.152,9.72454970595288e-239,"Stem","LINC01572"
"RERE",2.52710283715907e-243,0.308336480172423,0.833,0.646,1.11243066891742e-238,"Stem","RERE"
"MID1",3.2256362211453e-243,0.390387918287889,0.606,0.363,1.41992506454816e-238,"Stem","MID1"
"NARS2",5.33605467208654e-242,0.274338569549967,0.313,0.128,2.34893126665249e-237,"Stem","NARS2"
"ITGB8",3.75403355642149e-237,0.336973857369628,0.379,0.176,1.65252557153674e-232,"Stem","ITGB8"
"ENAH",2.82416705070439e-236,0.273296116754588,0.387,0.176,1.24319833572007e-231,"Stem","ENAH"
"DMBT1",2.05746303360016e-234,0.406663817448428,0.743,0.496,9.05695227390789e-230,"Stem","DMBT1"
"MYO5C",2.62333316249838e-233,0.254173903304297,0.391,0.177,1.15479125813179e-228,"Stem","MYO5C"
"DIP2C",6.65354015706225e-232,0.363186470671471,0.601,0.372,2.9288883771388e-227,"Stem","DIP2C"
"ABO",8.48849443072849e-229,0.384927958693034,0.565,0.353,3.73663524840668e-224,"Stem","ABO"
"SMARCC1",1.98245807823891e-228,0.355944982598464,0.656,0.427,8.72678046040769e-224,"Stem","SMARCC1"
"MIPOL1",1.1629740448142e-225,0.310105851549492,0.368,0.171,5.1194117452721e-221,"Stem","MIPOL1"
"RAP1GAP2",1.73658859034303e-225,0.283451698650659,0.514,0.264,7.64446297469e-221,"Stem","RAP1GAP2"
"PREP",5.13739551788429e-223,0.368136949557687,0.589,0.383,2.26148150697267e-218,"Stem","PREP"
"ROR1",2.79672777474172e-222,0.397884657812524,0.594,0.362,1.2311195664413e-217,"Stem","ROR1"
"LIMK2",6.95073373235625e-219,0.363524712930617,0.514,0.297,3.05971298898322e-214,"Stem","LIMK2"
"STK33",8.01073105407627e-217,0.319951995369098,0.348,0.159,3.52632381000437e-212,"Stem","STK33"
"LINC01876",3.91180543529069e-216,0.293065508891751,0.41,0.195,1.72197675261496e-211,"Stem","LINC01876"
"PRLR",1.90767981290196e-215,0.384606406197036,0.574,0.375,8.39760653639444e-211,"Stem","PRLR"
"DDX10",5.99212865003616e-211,0.293739705230162,0.395,0.192,2.63773503174592e-206,"Stem","DDX10"
"STARD13",7.30412481026201e-206,0.351493699620172,0.62,0.401,3.21527574147734e-201,"Stem","STARD13"
"FARSB",1.29263981202269e-205,0.319629190642638,0.395,0.2,5.69020045252389e-201,"Stem","FARSB"
"PHF14",1.53850759974499e-205,0.335715858953068,0.669,0.46,6.77251045407743e-201,"Stem","PHF14"
"SYBU",2.63131432351744e-204,0.364377441862627,0.53,0.316,1.15830456521238e-199,"Stem","SYBU"
"KDM2B",1.91297444412026e-203,0.261634018890777,0.323,0.144,8.42091350301738e-199,"Stem","KDM2B"
"ADGRA3",4.13033756517234e-202,0.355136616363971,0.56,0.357,1.81817459618886e-197,"Stem","ADGRA3"
"SLC44A3",1.74164874731438e-200,0.339907803963679,0.498,0.289,7.66673778567792e-196,"Stem","SLC44A3"
"SCAI",3.17047972696069e-197,0.259374933479764,0.316,0.142,1.3956451758081e-192,"Stem","SCAI"
"TUT4",6.41494043519589e-197,0.274521402930306,0.437,0.226,2.82385677957323e-192,"Stem","TUT4"
"TRIM2",6.32747130859772e-196,0.321828164779596,0.697,0.531,2.78535287004472e-191,"Stem","TRIM2"
"UTRN",4.98771573804767e-195,0.292376684970716,0.629,0.373,2.19559246788858e-190,"Stem","UTRN"
"PIGU",4.49774179428786e-193,0.272486583240365,0.32,0.147,1.97990593784552e-188,"Stem","PIGU"
"UBE3D",1.97982361966612e-192,0.311724038379017,0.377,0.191,8.71518357377026e-188,"Stem","UBE3D"
"SRPK1",5.79117138451824e-191,0.34184851812232,0.538,0.339,2.54927364346493e-186,"Stem","SRPK1"
"GPR160",5.06934285256507e-189,0.33996039095719,0.519,0.317,2.23152472369914e-184,"Stem","GPR160"
"AHI1",8.34693262733186e-186,0.2802547227002,0.484,0.265,3.67431974255148e-181,"Stem","AHI1"
"ATR",2.10445080702882e-185,0.30172889074219,0.47,0.263,9.26379245254085e-181,"Stem","ATR"
"USP9Y",3.85273522083789e-184,0.25730605999385,0.315,0.147,1.69597404421284e-179,"Stem","USP9Y"
"PLXDC2",9.26132864538376e-183,0.256178052673192,0.86,0.734,4.07683686969793e-178,"Stem","PLXDC2"
"MTAP",4.65041635309535e-181,0.306593268276506,0.361,0.184,2.04711327863257e-176,"Stem","MTAP"
"HNF1A-AS1",1.30191718924392e-180,0.377562294148793,0.485,0.298,5.73103946705175e-176,"Stem","HNF1A-AS1"
"LCLAT1",8.35156823647502e-178,0.32654506238728,0.623,0.432,3.6763603376963e-173,"Stem","LCLAT1"
"CD47",2.64721245274559e-176,0.252159279836861,0.387,0.198,1.16530292169861e-171,"Stem","CD47"
"CPS1",3.11193706843138e-176,0.300743424641128,0.753,0.62,1.36987469752349e-171,"Stem","CPS1"
"ARHGEF38",3.70423437211862e-176,0.314952388115616,0.51,0.305,1.63060397060662e-171,"Stem","ARHGEF38"
"GTF2IRD1",9.4433122883009e-176,0.271110958662665,0.318,0.15,4.15694606931006e-171,"Stem","GTF2IRD1"
"DPH6",1.77268930532297e-175,0.33670807371182,0.54,0.343,7.80337832203173e-171,"Stem","DPH6"
"DEPTOR",8.39588939713335e-171,0.281943221278394,0.394,0.209,3.6958705126181e-166,"Stem","DEPTOR"
"FOCAD",2.2442084637855e-170,0.279533169368888,0.487,0.278,9.87900565758379e-166,"Stem","FOCAD"
"AK3",2.24411947193019e-166,0.31033268046724,0.634,0.46,9.87861391543669e-162,"Stem","AK3"
"ZFHX3",3.04242657288653e-166,0.272083943360449,0.505,0.292,1.33927617738465e-161,"Stem","ZFHX3"
"EML4",2.32600887104704e-165,0.272837236695048,0.756,0.594,1.02390910503491e-160,"Stem","EML4"
"SMARCAD1",4.50806988038562e-165,0.28180163640438,0.435,0.246,1.98445236134575e-160,"Stem","SMARCAD1"
"CTDSPL",1.58732921929736e-164,0.287891531094915,0.414,0.229,6.98742322334698e-160,"Stem","CTDSPL"
"CNTN4",4.74456868451113e-164,0.388427657258196,0.304,0.15,2.0885591349218e-159,"Stem","CNTN4"
"MACROD2",6.3364987849498e-163,0.348675214735238,0.519,0.333,2.7893267651349e-158,"Stem","MACROD2"
"SPATA5",4.72779247404447e-162,0.285464670582959,0.439,0.248,2.08117424707438e-157,"Stem","SPATA5"
"PUM1",1.55949739242997e-161,0.28525757987061,0.703,0.52,6.86490752147673e-157,"Stem","PUM1"
"CD46",6.08493112360711e-158,0.293673313929899,0.685,0.494,2.67858668061185e-153,"Stem","CD46"
"DDAH1",1.01745949222387e-157,0.310394073349785,0.545,0.347,4.47885668476949e-153,"Stem","DDAH1"
"PLEKHS1",7.91908763946482e-156,0.323956603570649,0.45,0.276,3.48598237889242e-151,"Stem","PLEKHS1"
"NOP58",1.155259371857e-155,0.256148871307914,0.378,0.201,5.08545175491451e-151,"Stem","NOP58"
"AGPAT5",6.09116206721166e-155,0.250984425021515,0.293,0.142,2.68132954198657e-150,"Stem","AGPAT5"
"WDR43",2.47032089334572e-152,0.279219206272385,0.412,0.235,1.08743525725079e-147,"Stem","WDR43"
"CTBP2",2.07215277515549e-147,0.263038792173741,0.725,0.588,9.12161651623445e-143,"Stem","CTBP2"
"STX18-AS1",7.3469752440311e-147,0.281106325048796,0.35,0.188,3.23413850242249e-142,"Stem","STX18-AS1"
"HMGCS2",7.58764689142483e-145,0.25016845725831,0.271,0.128,3.34008216160521e-140,"Stem","HMGCS2"
"HMGA2",2.12717019114644e-143,0.292361247400947,0.286,0.143,9.36380318142662e-139,"Stem","HMGA2"
"CLYBL",3.93250290159634e-143,0.297279567266018,0.633,0.472,1.73108777728271e-138,"Stem","CLYBL"
"XYLT1",8.37849269806273e-143,0.284004424714739,0.671,0.485,3.68821248568721e-138,"Stem","XYLT1"
"CCDC14",1.21595680100797e-142,0.269493156642482,0.452,0.269,5.3526418380371e-138,"Stem","CCDC14"
"ACBD6",7.85411532041292e-142,0.276483880990495,0.508,0.32,3.45738156404577e-137,"Stem","ACBD6"
"SMYD3",1.26962982098541e-141,0.281159843894912,0.712,0.531,5.58891047197776e-137,"Stem","SMYD3"
"UNC13B",3.39192022165302e-138,0.258521905991756,0.54,0.341,1.49312328157166e-133,"Stem","UNC13B"
"ZNF814",1.42466101614572e-136,0.277788997744869,0.341,0.189,6.27135779307345e-132,"Stem","ZNF814"
"TAF1D",8.42147446032537e-136,0.270998103155272,0.518,0.338,3.70713305743523e-131,"Stem","TAF1D"
"GPRIN3",1.60679370069702e-135,0.290703198152816,0.533,0.353,7.0731058704683e-131,"Stem","GPRIN3"
"ZNF280D",4.13897181594826e-135,0.268513335713745,0.452,0.28,1.82197539338043e-130,"Stem","ZNF280D"
"PRKDC",4.02802943017394e-134,0.271451431039538,0.497,0.317,1.77313855516257e-129,"Stem","PRKDC"
"CSRNP3",4.43828880017769e-134,0.261597657651438,0.326,0.174,1.95373472983822e-129,"Stem","CSRNP3"
"NDUFAF2",1.40723372328587e-132,0.253331939860821,0.377,0.213,6.19464284990441e-128,"Stem","NDUFAF2"
"TTTY14",6.71882503104773e-132,0.319677705129417,0.497,0.333,2.95762677866721e-127,"Stem","TTTY14"
"SENP6",8.87949227956438e-130,0.253391728522591,0.701,0.539,3.90875250146424e-125,"Stem","SENP6"
"DPP10",4.01542177300227e-129,0.309392865773851,0.564,0.393,1.7675886644756e-124,"Stem","DPP10"
"VAV3",1.13943134028074e-128,0.260673980424282,0.384,0.223,5.01577675991583e-124,"Stem","VAV3"
"PTPRG",7.23452523284072e-128,0.259870456124403,0.76,0.604,3.18463800749649e-123,"Stem","PTPRG"
"RASAL2",1.65389338830729e-127,0.27677699280099,0.628,0.466,7.2804386953287e-123,"Stem","RASAL2"
"MAGED1",2.22282569747072e-127,0.27508743563773,0.531,0.354,9.78487872026613e-123,"Stem","MAGED1"
"UBAP2",4.31879165276176e-127,0.258604348125941,0.451,0.277,1.90113208554573e-122,"Stem","UBAP2"
"LRPPRC",1.05371553017719e-126,0.269864031607395,0.501,0.329,4.63845576383999e-122,"Stem","LRPPRC"
"CBR4",6.4365727394661e-126,0.269473547401217,0.503,0.332,2.83337931991298e-121,"Stem","CBR4"
"FAR2",6.48717014734533e-125,0.26525917357002,0.505,0.323,2.85565229886142e-120,"Stem","FAR2"
"POLA1",6.11362914437833e-124,0.252004187506912,0.351,0.198,2.69121954935534e-119,"Stem","POLA1"
"ZFP36L2",7.3522831122378e-124,0.264193612729131,0.571,0.387,3.23647502600708e-119,"Stem","ZFP36L2"
"MAML2",2.39325448356576e-123,0.256311052651567,0.611,0.405,1.05351062366565e-118,"Stem","MAML2"
"SNHG14",6.61168129174483e-120,0.253164307604826,0.401,0.242,2.91046210462607e-115,"Stem","SNHG14"
"SUGCT",9.85678769599501e-120,0.272625344954164,0.31,0.17,4.338957943777e-115,"Stem","SUGCT"
"KCNJ3",3.1772543411821e-117,0.254965903694589,0.676,0.552,1.39862736098836e-112,"Stem","KCNJ3"
"SYNE2",5.13600020317059e-117,0.250627963522681,0.674,0.507,2.2608672894357e-112,"Stem","SYNE2"
"TCERG1",1.08101153586723e-116,0.251630864947024,0.54,0.369,4.75861278088757e-112,"Stem","TCERG1"
"ZSWIM5",1.22302470457079e-116,0.279198500898667,0.599,0.453,5.38375474952064e-112,"Stem","ZSWIM5"
"FARS2",1.67842691254989e-116,0.258331606838855,0.576,0.404,7.3884352690446e-112,"Stem","FARS2"
"YAP1",1.90575080689349e-116,0.269518133524652,0.622,0.478,8.38911505194514e-112,"Stem","YAP1"
"PPA2",2.866443673392e-115,0.260631234843377,0.567,0.41,1.26180850502716e-110,"Stem","PPA2"
"CLASP2",1.02471488123537e-114,0.252308406703296,0.619,0.453,4.5107949071981e-110,"Stem","CLASP2"
"TCF20",4.00219803924994e-110,0.256493819192613,0.47,0.316,1.76176757687782e-105,"Stem","TCF20"
"LGR4",1.5650194113305e-109,0.255340017101027,0.663,0.524,6.88921544867684e-105,"Stem","LGR4"
"TMEM161B-AS1",3.88413409537315e-109,0.264256769206746,0.56,0.411,1.70979582878326e-104,"Stem","TMEM161B-AS1"
"MAP3K21",7.5273348130618e-109,0.273682253808444,0.431,0.284,3.31353278470981e-104,"Stem","MAP3K21"
"FAM171A1",1.4999605609645e-106,0.254976156618455,0.47,0.316,6.60282638936572e-102,"Stem","FAM171A1"
"GAB2",2.11873442757313e-105,0.256275456466533,0.584,0.426,9.32666895017692e-101,"Stem","GAB2"
"GPR39",1.35258054632552e-88,0.251018695546314,0.545,0.413,5.95405956492494e-84,"Stem","GPR39"
"NAALADL21",0,0.641844945292371,0.834,0.512,0,"TA","NAALADL2"
"SLC12A21",0,0.591108229672651,0.672,0.37,0,"TA","SLC12A2"
"DMBT11",0,0.514918266635074,0.697,0.431,0,"TA","DMBT1"
"EPHB21",0,0.486626695796396,0.409,0.143,0,"TA","EPHB2"
"CHRM31",0,0.474751565179744,0.58,0.278,0,"TA","CHRM3"
"NFIA1",0,0.444903994351371,0.754,0.522,0,"TA","NFIA"
"FREM11",0,0.441049810472645,0.49,0.241,0,"TA","FREM1"
"CPS11",0,0.436960839886948,0.774,0.568,0,"TA","CPS1"
"HTR41",0,0.418828241707172,0.62,0.396,0,"TA","HTR4"
"MECOM1",0,0.416716537917478,0.891,0.711,0,"TA","MECOM"
"ADK1",0,0.409552831128389,0.577,0.339,0,"TA","ADK"
"ARID5B1",0,0.394659253346932,0.544,0.325,0,"TA","ARID5B"
"DACH11",0,0.391239443170631,0.693,0.448,0,"TA","DACH1"
"SYBU1",0,0.390537236697655,0.483,0.263,0,"TA","SYBU"
"RNF431",0,0.390370348402895,0.566,0.356,0,"TA","RNF43"
"DPP101",0,0.387946528133271,0.547,0.343,0,"TA","DPP10"
"CACNA1D1",0,0.387533332325418,0.585,0.363,0,"TA","CACNA1D"
"FUT81",0,0.38708393621544,0.721,0.522,0,"TA","FUT8"
"SCTR1",0,0.385682359543904,0.37,0.168,0,"TA","SCTR"
"ADD31",0,0.380927373963782,0.69,0.475,0,"TA","ADD3"
"OLFM41",0,0.379999935428387,0.72,0.538,0,"TA","OLFM4"
"BCL11A1",0,0.376376635887081,0.524,0.312,0,"TA","BCL11A"
"LINC015151",0,0.368946660042626,0.381,0.196,0,"TA","LINC01515"
"ROR11",0,0.357990731215708,0.52,0.313,0,"TA","ROR1"
"BRIP1",0,0.355108504858174,0.268,0.106,0,"TA","BRIP1"
"PKP2",0,0.351871805349909,0.481,0.275,0,"TA","PKP2"
"TFRC",0,0.350478413732893,0.499,0.296,0,"TA","TFRC"
"ATP10B1",0,0.349868589009161,0.555,0.356,0,"TA","ATP10B"
"LINC015721",0,0.349386418059806,0.292,0.109,0,"TA","LINC01572"
"NECTIN31",0,0.348396396155547,0.583,0.403,0,"TA","NECTIN3"
"CENPP",0,0.348386498271121,0.259,0.1,0,"TA","CENPP"
"HMGA21",0,0.348245493782926,0.278,0.098,0,"TA","HMGA2"
"KCNQ11",0,0.34314717739018,0.522,0.319,0,"TA","KCNQ1"
"MMS22L",0,0.341613379376363,0.311,0.135,0,"TA","MMS22L"
"LRIG31",0,0.334310875521418,0.387,0.195,0,"TA","LRIG3"
"KANK11",0,0.332193469688259,0.75,0.587,0,"TA","KANK1"
"DDAH11",0,0.328363045661567,0.495,0.3,0,"TA","DDAH1"
"RANBP171",0,0.325695865334394,0.429,0.244,0,"TA","RANBP17"
"LINC011841",0,0.319331786355901,0.44,0.243,0,"TA","LINC01184"
"FARSB1",0,0.317675903878465,0.34,0.156,0,"TA","FARSB"
